occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability,exposure_vs_median,growth_direction,four_futures_quadrant,human_gpt4_gap,abs_human_gpt4_gap,display_order
Graphic designers,27-1024,Arts And Design,Bachelor's degree,61300.0,265900.0,2.0,Slower than average,0.411,0.5,0.716,Medium,Originality,Reasoning,Spatial,2.946,3.688,3.391,2.0,2.0,2.497,2.19,2.75,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.08900000000000002,0.08900000000000002,1
Industrial designers,27-1021,Arts And Design,Bachelor's degree,79450.0,30600.0,3.0,As fast as average,0.414,0.466,0.867,Medium,Oral Comprehension,Verbal,Spatial,3.161,3.625,3.554,2.69,2.5,2.75,2.5,2.935,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.052000000000000046,0.052000000000000046,2
Interior designers,27-1025,Arts And Design,Bachelor's degree,63490.0,87100.0,3.0,As fast as average,0.362,0.5,1.122,Medium,Originality,Reasoning,Spatial,3.31,3.938,3.643,2.94,2.38,2.753,2.875,3.0,Lower exposure (below dataset median),Growing,Lower exposure (below dataset median) + Growing,-0.138,0.138,3
High school teachers,25-2031,Education Training And Library,Bachelor's degree,64580.0,1094500.0,-2.0,Decline,0.341,0.333,1.191,Medium,Oral Expression,Verbal,Memory,3.28,4.062,3.64,2.875,3.0,2.88,1.94,2.94,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.008000000000000007,0.008000000000000007,4
Preschool teachers,25-2011,Education Training And Library,Associate's degree,37120.0,555100.0,4.0,As fast as average,0.311,0.227,0.031,Medium,Oral Expression,Verbal,Attention,3.185,3.782,3.571,2.375,2.75,2.873,2.13,3.185,Lower exposure (below dataset median),Growing,Lower exposure (below dataset median) + Growing,0.08399999999999999,0.08399999999999999,5
Teacher assistants,25-9045,Education Training And Library,"Some college, no degree",35240.0,1422800.0,-1.0,Decline,0.299,0.388,0.452,Medium,Oral Comprehension,Verbal,Attention,2.68,3.378,2.947,1.88,2.25,2.29,1.685,2.94,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.08900000000000002,0.08900000000000002,6
Registered nurses,29-1141,Healthcare,Bachelor's degree,93600.0,3391000.0,5.0,Faster than average,0.335,0.38,0.229,Medium,Problem Sensitivity,Reasoning,Memory,3.303,4.018,3.654,2.765,2.926,3.059,1.898,3.137,Lower exposure (below dataset median),Growing,Lower exposure (below dataset median) + Growing,-0.044999999999999984,0.044999999999999984,7
Physician assistants,29-1071,Healthcare,Master's degree,133260.0,162700.0,20.0,Much faster than average,0.11,0.271,0.106,Low,Oral Comprehension,Verbal,Perceptual,3.283,3.936,3.517,2.97,2.815,3.227,1.94,3.128,Lower exposure (below dataset median),Growing,Lower exposure (below dataset median) + Growing,-0.16100000000000003,0.16100000000000003,8
Medical scientists,19-1042,Life Physical And Social Science,Doctoral or professional degree,100590.0,165300.0,9.0,Much faster than average,0.568,0.523,1.28,High,Written Comprehension,Verbal,Reasoning,3.297,4.093,3.714,3.125,2.62,2.957,1.625,2.935,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.04499999999999993,0.04499999999999993,9
Accountants and auditors,13-2011,Business And Financial,Bachelor's degree,81680.0,1579800.0,5.0,Faster than average,0.52,0.56,1.482,High,Written Comprehension,Verbal,Quantitative,3.275,3.892,3.536,3.94,2.875,2.96,1.625,2.78,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.040000000000000036,0.040000000000000036,10
