occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability,exposure_vs_median,growth_direction,four_futures_quadrant,human_gpt4_gap,abs_human_gpt4_gap
Desktop publishers,43-9031,Office And Administrative Support,Associate's degree,53620.0,5000.0,-12.0,Decline,0.484,0.645,0.344,High,Information Ordering,Reasoning,Spatial,3.256,3.562,3.643,2.44,2.5,3.25,2.81,2.94,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.16100000000000003,0.16100000000000003
General office clerks,43-9061,Office And Administrative Support,High school diploma or equivalent,43630.0,2646000.0,-7.0,Decline,0.5,0.576,0.989,High,Oral Expression,Verbal,Attention,2.808,3.75,2.873,2.685,2.12,2.453,1.56,2.94,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.07599999999999996,0.07599999999999996
Advertising sales agents,41-3011,Sales,High school diploma or equivalent,61460.0,103700.0,-6.0,Decline,0.692,0.538,1.163,High,Oral Expression,Verbal,Verbal,3.036,3.875,3.123,2.75,2.38,2.793,2.13,2.94,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,0.15399999999999991,0.15399999999999991
Survey researchers,19-3022,Life Physical And Social Science,Master's degree,63380.0,8800.0,-5.0,Decline,0.844,0.625,1.427,High,Oral Comprehension,Verbal,Quantitative,3.304,4.06,3.589,3.94,3.0,2.793,1.69,2.69,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,0.21899999999999997,0.21899999999999997
Customer service representatives,43-4051,Office And Administrative Support,High school diploma or equivalent,42830.0,2814000.0,-5.0,Decline,0.705,0.568,0.956,High,Oral Comprehension,Verbal,Verbal,2.943,3.86,3.196,2.407,2.5,2.645,1.5,2.875,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,0.137,0.137
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Business And Financial,See How to Become One,76790.0,365300.0,-5.0,Decline,0.495,0.51,0.969,High,Oral Comprehension,Verbal,Verbal,3.031,3.889,3.205,2.874,2.185,2.698,2.062,2.749,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.015000000000000013,0.015000000000000013
Cost estimators,13-1051,Business And Financial,Bachelor's degree,77070.0,221400.0,-4.0,Decline,0.481,0.5,1.368,High,Oral Comprehension,Verbal,Quantitative,3.173,3.875,3.376,4.0,2.0,2.837,1.935,2.56,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.019000000000000017,0.019000000000000017
"News analysts, reporters, and journalists",27-3023,Media And Communication,Bachelor's degree,60280.0,49300.0,-4.0,Decline,0.633,0.65,1.175,High,Oral Expression,Verbal,Verbal,3.068,4.093,3.5,1.968,2.56,2.647,1.685,2.875,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.017000000000000015,0.017000000000000015
Political scientists,19-3094,Life Physical And Social Science,Master's degree,139380.0,6500.0,-3.0,Decline,0.542,0.479,1.419,High,Written Comprehension,Verbal,Verbal,2.982,4.125,3.34,2.565,2.5,2.333,1.5,2.56,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,0.06300000000000006,0.06300000000000006
Insurance underwriters,13-2053,Business And Financial,Bachelor's degree,79880.0,127000.0,-3.0,Decline,0.5,0.571,1.327,High,Written Comprehension,Verbal,Quantitative,2.918,3.688,3.251,2.815,2.12,2.583,1.5,2.63,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.07099999999999995,0.07099999999999995
Preschool and childcare center directors,11-9031,Management,Bachelor's degree,56270.0,90200.0,-3.0,Decline,0.516,0.469,0.838,High,Written Expression,Verbal,Memory,3.221,4.03,3.609,2.815,3.0,2.75,1.69,3.0,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,0.04700000000000004,0.04700000000000004
"Tax examiners and collectors, and revenue agents",13-2081,Business And Financial,Bachelor's degree,59740.0,57600.0,-2.0,Decline,0.677,0.581,1.367,High,Oral Comprehension,Verbal,Memory,3.161,3.875,3.464,3.125,2.88,2.917,1.625,2.75,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,0.09600000000000009,0.09600000000000009
Nuclear engineers,17-2161,Architecture And Engineering,Bachelor's degree,127520.0,15400.0,-1.0,Decline,0.475,0.55,1.303,High,Problem Sensitivity,Reasoning,Reasoning,3.487,4.09,3.876,3.56,2.75,3.167,2.12,3.065,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.07500000000000007,0.07500000000000007
