occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability,exposure_vs_median,growth_direction,four_futures_quadrant,human_gpt4_gap,abs_human_gpt4_gap
Actuaries,15-2011,Math,Bachelor's degree,125770.0,33600.0,22.0,Much faster than average,0.537,0.5,1.516,High,Mathematical Reasoning,Quantitative,Quantitative,3.406,3.907,3.714,4.375,2.75,3.003,1.75,2.94,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.03700000000000003,0.03700000000000003
Operations research analysts,15-2031,Math,Bachelor's degree,91290.0,112100.0,21.0,Much faster than average,0.629,0.629,1.4,High,Mathematical Reasoning,Quantitative,Quantitative,3.405,4.093,3.84,4.5,2.75,2.667,1.69,2.56,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.0,0.0
Financial examiners,13-2061,Business And Financial,Bachelor's degree,90400.0,65100.0,19.0,Much faster than average,0.576,0.5,1.526,High,Written Comprehension,Verbal,Quantitative,3.398,4.093,3.749,3.5,2.88,3.163,1.75,2.935,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.07599999999999996,0.07599999999999996
Logisticians,13-1081,Business And Financial,Bachelor's degree,80880.0,241000.0,17.0,Much faster than average,0.597,0.528,1.297,High,Written Comprehension,Verbal,Quantitative,3.293,3.905,3.625,3.417,2.75,2.848,2.123,2.897,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.06899999999999995,0.06899999999999995
Epidemiologists,19-1041,Life Physical And Social Science,Master's degree,83980.0,12300.0,16.0,Much faster than average,0.558,0.442,1.436,High,Problem Sensitivity,Reasoning,Reasoning,3.535,4.185,3.964,3.375,3.0,3.287,2.0,3.065,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.11600000000000005,0.11600000000000005
Computer and information systems managers,11-3021,Management,Bachelor's degree,171200.0,667100.0,15.0,Much faster than average,0.561,0.53,1.06,High,Oral Comprehension,Verbal,Reasoning,3.25,3.938,3.661,3.06,2.62,2.833,2.06,2.75,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.031000000000000028,0.031000000000000028
Industrial engineers,17-2112,Architecture And Engineering,Bachelor's degree,101140.0,351100.0,11.0,Much faster than average,0.52,0.554,1.138,High,Written Comprehension,Verbal,Quantitative,3.277,3.921,3.616,3.188,2.5,2.835,2.25,2.965,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.03400000000000003,0.03400000000000003
Training and development specialists,13-1151,Business And Financial,Bachelor's degree,65850.0,452300.0,11.0,Much faster than average,0.592,0.553,1.198,High,Oral Expression,Verbal,Memory,3.202,4.093,3.627,2.5,3.0,2.583,1.81,3.06,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.038999999999999924,0.038999999999999924
Personal financial advisors,13-2052,Business And Financial,Bachelor's degree,102140.0,326000.0,10.0,Much faster than average,0.671,0.5,1.401,High,Oral Comprehension,Verbal,Quantitative,3.18,3.97,3.539,3.5,2.5,2.75,1.5,2.685,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.17100000000000004,0.17100000000000004
Medical scientists,19-1042,Life Physical And Social Science,Doctoral or professional degree,100590.0,165300.0,9.0,Much faster than average,0.568,0.523,1.28,High,Written Comprehension,Verbal,Reasoning,3.297,4.093,3.714,3.125,2.62,2.957,1.625,2.935,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.04499999999999993,0.04499999999999993
Mechanical engineers,17-2141,Architecture And Engineering,Bachelor's degree,102320.0,293100.0,9.0,Much faster than average,0.501,0.531,1.005,High,Written Comprehension,Verbal,Quantitative,3.368,3.823,3.685,3.625,2.62,3.001,2.482,2.897,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.030000000000000027,0.030000000000000027
Management analysts,13-1111,Business And Financial,Bachelor's degree,101190.0,1075100.0,9.0,Much faster than average,0.5,0.405,1.432,High,Oral Comprehension,Verbal,Verbal,3.231,4.25,3.713,2.94,2.62,2.583,1.625,2.685,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.09499999999999997,0.09499999999999997
Audiologists,29-1181,Healthcare,Doctoral or professional degree,92120.0,15800.0,9.0,Much faster than average,0.455,0.455,0.633,High,Oral Comprehension,Verbal,Memory,3.154,3.938,3.5,2.5,2.75,2.96,1.87,2.81,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.0,0.0
Genetic counselors,29-9092,Healthcare,Master's degree,98910.0,4000.0,9.0,Much faster than average,0.632,0.5,1.528,High,Written Comprehension,Verbal,Memory,3.273,4.062,3.623,3.0,2.88,2.96,1.81,2.875,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.132,0.132
Medical records specialists,29-2072,Healthcare,Postsecondary nondegree award,50250.0,194800.0,7.0,Much faster than average,0.559,0.618,0.574,High,Oral Comprehension,Verbal,Verbal,2.613,3.375,2.84,2.125,2.12,2.5,1.44,2.37,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.05899999999999994,0.05899999999999994
Market research analysts,13-1161,Business And Financial,Bachelor's degree,76950.0,941700.0,7.0,Much faster than average,0.543,0.525,1.427,High,Inductive Reasoning,Reasoning,Reasoning,3.28,4.0,3.821,3.25,2.75,2.75,1.69,2.63,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.018000000000000016,0.018000000000000016
Aerospace engineers,17-2011,Architecture And Engineering,Bachelor's degree,134830.0,71600.0,6.0,Faster than average,0.518,0.571,1.339,High,Written Comprehension,Verbal,Quantitative,3.376,3.94,3.769,3.63,2.62,2.957,2.125,2.875,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.052999999999999936,0.052999999999999936
Training and development managers,11-3131,Management,Bachelor's degree,127090.0,46400.0,6.0,Faster than average,0.477,0.5,1.284,High,Oral Expression,Verbal,Reasoning,3.276,4.03,3.824,2.88,2.88,2.71,1.875,2.69,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.02300000000000002,0.02300000000000002
"Transportation, storage, and distribution managers",11-3071,Management,High school diploma or equivalent,102010.0,216700.0,6.0,Faster than average,0.473,0.487,0.891,High,Oral Comprehension,Verbal,Quantitative,3.158,3.939,3.489,3.042,2.457,2.681,2.065,2.71,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.014000000000000012,0.014000000000000012
Psychologists,19-3030,Life Physical And Social Science,See How to Become One,94310.0,204300.0,6.0,Faster than average,0.49,0.426,1.416,High,Written Comprehension,Verbal,Reasoning,3.384,4.301,3.86,2.916,2.76,2.954,1.868,2.827,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.064,0.064
Dietitians and nutritionists,29-1031,Healthcare,Bachelor's degree,73850.0,90900.0,6.0,Faster than average,0.463,0.549,1.343,High,Oral Comprehension,Verbal,Memory,3.245,4.0,3.714,2.94,2.88,2.627,1.81,2.94,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.08600000000000002,0.08600000000000002
