job_category,occupation_count,employment_2024_sum,mean_llm_human_exposure,median_llm_human_exposure,mean_projected_growth_pct,median_wage_usd
Math,2,145700.0,0.583,0.583,21.5,108530.0
Media And Communication,9,1125300.0,0.5646666666666667,0.633,1.6666666666666667,69780.0
Business And Financial,22,8784400.0,0.5426818181818182,0.5235000000000001,4.681818181818182,77045.0
Sales,8,5005600.0,0.501625,0.5245,0.0,60915.0
Life Physical And Social Science,28,1130900.0,0.4911785714285714,0.5085,3.3214285714285716,85300.0
Office And Administrative Support,9,9205100.0,0.4657777777777778,0.484,-6.111111111111111,46040.0
Legal,4,1267800.0,0.45425,0.4625,2.0,67510.0
Management,24,7571100.0,0.4415,0.453,5.375,106930.0
Architecture And Engineering,29,2406700.0,0.4207586206896552,0.431,4.0344827586206895,99590.0
Arts And Design,8,676500.0,0.38675,0.393,1.5,72865.0
Education Training And Library,9,4721400.0,0.38566666666666666,0.341,-0.7777777777777778,62970.0
Community And Social Service,9,2519200.0,0.3804444444444444,0.359,7.222222222222222,61330.0
Protective Service,5,2085000.0,0.2676,0.281,1.6,57950.0
Personal Care And Service,8,2749500.0,0.26537499999999997,0.2425,5.25,36040.0
Healthcare,39,9445400.0,0.26458974358974363,0.238,8.0,73850.0
Transportation And Material Moving,4,2545400.0,0.212,0.1975,4.5,105855.0
Entertainment And Sports,8,803000.0,0.178125,0.15,3.5,56691.0
Food Preparation And Serving,5,6991500.0,0.1548,0.139,2.8,34220.0
Building And Grounds Cleaning,2,2550100.0,0.1285,0.1285,3.5,40330.0
Installation Maintenance And Repair,10,3728800.0,0.1044,0.0755,10.3,61610.0
Production,11,1967900.0,0.09354545454545454,0.105,0.0,49140.0
Farming Fishing And Forestry,2,55100.0,0.09,0.09,-3.5,46610.0
Construction And Extraction,16,4078500.0,0.064375,0.035500000000000004,5.9375,58560.0
