occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability,exposure_vs_median,growth_direction,four_futures_quadrant,human_gpt4_gap,abs_human_gpt4_gap
"Power plant operators, distributors, and dispatchers",51-8010,Production,High school diploma or equivalent,103600.0,46600.0,-10.0,Decline,0.154,0.283,0.308,Low,Oral Comprehension,Verbal,Perceptual,3.177,3.781,3.412,2.647,2.29,3.154,2.272,3.063,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.12899999999999998,0.12899999999999998
Correctional officers and bailiffs,33-3010,Protective Service,High school diploma or equivalent,57950.0,406500.0,-7.0,Decline,0.2,0.149,-0.699,Low,Oral Expression,Verbal,Attention,2.744,3.421,2.901,1.75,2.125,2.625,1.905,3.155,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.05100000000000002,0.05100000000000002
Water and wastewater treatment plant and system operators,51-8031,Production,High school diploma or equivalent,58260.0,132400.0,-7.0,Decline,0.125,0.125,-0.445,Low,Oral Comprehension,Verbal,Spatial,2.952,3.56,3.0,2.815,2.12,2.837,2.375,2.87,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.0,0.0
Floral designers,27-1023,Arts And Design,High school diploma or equivalent,36120.0,43800.0,-6.0,Decline,0.267,0.2,-0.272,Low,Oral Comprehension,Verbal,Spatial,2.875,3.47,3.233,2.185,2.0,2.25,2.75,2.625,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.067,0.067
Jewelers and precious stone and metal workers,51-9071,Production,High school diploma or equivalent,49140.0,35100.0,-5.0,Decline,0.134,0.205,-0.156,Low,Problem Sensitivity,Reasoning,Perceptual,2.728,2.782,3.035,2.625,2.003,2.764,2.082,2.605,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.07099999999999998,0.07099999999999998
Medical transcriptionists,31-9094,Healthcare,Postsecondary nondegree award,37550.0,43900.0,-5.0,Decline,0.232,0.875,1.063,Low,Oral Comprehension,Verbal,Verbal,2.756,4.03,2.767,1.94,2.38,2.793,1.31,2.56,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.643,0.643
Forest and conservation workers,45-4011,Farming Fishing And Forestry,High school diploma or equivalent,43680.0,10800.0,-5.0,Decline,0.065,0.043,-1.064,Low,Problem Sensitivity,Reasoning,Spatial,2.982,3.28,3.179,2.435,2.12,2.873,2.88,2.94,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.022000000000000006,0.022000000000000006
Postal service workers,43-5050,Office And Administrative Support,No formal educational credential,57870.0,500000.0,-5.0,Decline,0.25,0.215,-0.923,Low,Oral Comprehension,Verbal,Perceptual,2.603,3.074,2.713,2.228,2.163,2.61,1.79,2.668,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.035,0.035
Food preparation workers,35-2021,Food Preparation And Serving,No formal educational credential,34220.0,902700.0,-3.0,Decline,0.046,0.037,-1.226,Low,Oral Expression,Verbal,Spatial,2.369,2.688,2.59,2.0,2.0,2.04,1.81,2.565,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.009000000000000001,0.009000000000000001
Logging workers,45-4020,Farming Fishing And Forestry,High school diploma or equivalent,49540.0,44300.0,-2.0,Decline,0.115,0.143,-1.092,Low,Problem Sensitivity,Reasoning,Spatial,2.761,2.823,2.852,2.585,1.96,2.819,2.855,2.708,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.027999999999999983,0.027999999999999983
Boilermakers,47-2011,Construction And Extraction,High school diploma or equivalent,73340.0,10400.0,-2.0,Decline,0.0,0.03,-1.098,Low,Problem Sensitivity,Reasoning,Spatial,2.942,3.155,3.234,2.38,2.0,2.793,2.75,2.94,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.03,0.03
"Farmers, ranchers, and other agricultural managers",11-9013,Management,High school diploma or equivalent,87980.0,836100.0,-1.0,Decline,0.245,0.367,-0.144,Low,Oral Comprehension,Verbal,Spatial,3.184,3.823,3.501,2.835,2.377,2.752,2.44,2.938,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.122,0.122
Waiters and waitresses,35-3031,Food Preparation And Serving,No formal educational credential,33760.0,2329700.0,-1.0,Decline,0.224,0.184,-0.948,Low,Oral Comprehension,Verbal,Memory,2.625,3.285,2.66,2.06,2.88,2.207,1.81,3.06,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,0.04000000000000001,0.04000000000000001
Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Production,High school diploma or equivalent,45820.0,66800.0,-1.0,Decline,0.069,0.091,-0.363,Low,Visualization,Spatial,Spatial,2.825,3.137,3.065,2.373,2.127,2.751,2.312,2.792,Lower exposure (below dataset median),Declining,Lower exposure (below dataset median) + Declining,-0.021999999999999992,0.021999999999999992
