role_family,count,median_usd,mean_usd,p25_usd,p75_usd
Other / Unclassified,40540,140000.0,153403.35735076468,98400.0,193000.0
Data Analyst,8335,99450.0,108601.96352729455,72000.0,136100.0
Data Engineer,7246,135700.0,144765.3288711013,95797.75,183750.0
Data Scientist,7216,141843.0,151556.63511640797,100000.0,191685.5
ML Engineer,3642,175950.0,187824.77512355847,131325.0,234000.0
Research Scientist,2852,179635.0,195300.18267882188,136000.0,242200.0
AI Engineer,1209,150000.0,163843.3399503722,107093.0,208800.0
Analytics Manager,495,170000.0,185237.58585858587,126582.0,225500.0
AI Architect,219,195000.0,212067.96803652967,142600.0,262000.0
Computer Vision,140,170200.0,170379.00714285715,116012.5,219415.75
NLP,19,150000.0,134649.15789473685,68128.0,187500.0
