occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability
Survey researchers,19-3022,Life Physical And Social Science,Master's degree,63380.0,8800.0,-5.0,Decline,0.844,0.625,1.427,High,Oral Comprehension,Verbal,Quantitative,3.304,4.06,3.589,3.94,3.0,2.793,1.69,2.69
Interpreters and translators,27-3091,Media And Communication,Bachelor's degree,59440.0,75300.0,2.0,Slower than average,0.84,0.88,1.111,High,Oral Comprehension,Verbal,Attention,3.054,4.095,3.213,1.88,2.75,2.96,1.75,3.19
Public relations specialists,27-3031,Media And Communication,Bachelor's degree,69780.0,315900.0,5.0,Faster than average,0.788,0.591,1.285,High,Oral Comprehension,Verbal,Verbal,3.012,4.127,3.463,2.06,2.38,2.293,1.625,2.935
Writers and authors,27-3043,Media And Communication,Bachelor's degree,72270.0,135400.0,4.0,As fast as average,0.774,0.877,0.988,High,Written Expression,Verbal,Verbal,2.97,4.108,3.456,1.872,2.06,2.417,1.782,2.56
Environmental scientists and specialists,19-2041,Life Physical And Social Science,Bachelor's degree,80060.0,90300.0,4.0,As fast as average,0.71,0.522,1.014,High,Oral Comprehension,Verbal,Quantitative,3.252,3.992,3.572,3.202,2.502,2.832,2.157,2.798
Customer service representatives,43-4051,Office And Administrative Support,High school diploma or equivalent,42830.0,2814000.0,-5.0,Decline,0.705,0.568,0.956,High,Oral Comprehension,Verbal,Verbal,2.943,3.86,3.196,2.407,2.5,2.645,1.5,2.875
Concierges,39-6012,Personal Care And Service,High school diploma or equivalent,37320.0,45600.0,2.0,Slower than average,0.7,0.467,0.856,High,Oral Expression,Verbal,Memory,2.891,3.625,3.247,2.12,2.75,2.46,1.87,2.685
Credit counselors,13-2071,Business And Financial,Bachelor's degree,50480.0,31800.0,3.0,As fast as average,0.693,0.625,1.385,High,Oral Comprehension,Verbal,Quantitative,3.134,3.97,3.384,3.25,2.375,2.79,1.625,2.872
Advertising sales agents,41-3011,Sales,High school diploma or equivalent,61460.0,103700.0,-6.0,Decline,0.692,0.538,1.163,High,Oral Expression,Verbal,Verbal,3.036,3.875,3.123,2.75,2.38,2.793,2.13,2.94
"Tax examiners and collectors, and revenue agents",13-2081,Business And Financial,Bachelor's degree,59740.0,57600.0,-2.0,Decline,0.677,0.581,1.367,High,Oral Comprehension,Verbal,Memory,3.161,3.875,3.464,3.125,2.88,2.917,1.625,2.75
Personal financial advisors,13-2052,Business And Financial,Bachelor's degree,102140.0,326000.0,10.0,Much faster than average,0.671,0.5,1.401,High,Oral Comprehension,Verbal,Quantitative,3.18,3.97,3.539,3.5,2.5,2.75,1.5,2.685
Agricultural and food scientists,19-1010,Life Physical And Social Science,Bachelor's degree,78770.0,38700.0,6.0,Faster than average,0.658,0.456,0.823,High,Oral Comprehension,Verbal,Reasoning,3.369,3.999,3.78,3.252,2.707,2.888,2.228,2.978
Loan officers,13-2072,Business And Financial,Bachelor's degree,74180.0,301400.0,2.0,Slower than average,0.648,0.591,1.386,High,Oral Comprehension,Verbal,Quantitative,2.899,3.843,3.197,3.25,2.25,2.29,1.25,2.5
Editors,27-3041,Media And Communication,Bachelor's degree,75260.0,115800.0,1.0,Slower than average,0.647,0.647,1.128,High,Written Comprehension,Verbal,Verbal,3.191,4.375,3.52,2.06,2.62,2.917,1.94,2.75
Budget analysts,13-2031,Business And Financial,Bachelor's degree,87930.0,50400.0,1.0,Slower than average,0.64,0.52,1.503,High,Oral Comprehension,Verbal,Quantitative,3.203,3.907,3.483,4.0,2.62,2.67,1.56,2.75
Technical writers,27-3042,Media And Communication,Bachelor's degree,91670.0,56400.0,1.0,Slower than average,0.633,0.7,1.184,High,Written Expression,Verbal,Verbal,2.852,4.0,3.287,1.88,2.0,2.163,2.125,2.19
"News analysts, reporters, and journalists",27-3023,Media And Communication,Bachelor's degree,60280.0,49300.0,-4.0,Decline,0.633,0.65,1.175,High,Oral Expression,Verbal,Verbal,3.068,4.093,3.5,1.968,2.56,2.647,1.685,2.875
Genetic counselors,29-9092,Healthcare,Master's degree,98910.0,4000.0,9.0,Much faster than average,0.632,0.5,1.528,High,Written Comprehension,Verbal,Memory,3.273,4.062,3.623,3.0,2.88,2.96,1.81,2.875
