Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level
59,Master's,6,Finance,Accountant,Medium,Entry,84,21,94
44,Master's,14,Manufacturing,Production Supervisor,Small,Entry,30,84,68
36,Bachelor's,7,Retail,Store Manager,Medium,Senior,12,86,71
27,Bachelor's,6,Finance,Auditor,Large,Entry,90,18,21
49,High School,12,Finance,Auditor,Small,Entry,49,52,72
45,PhD,9,Telecom,Network Engineer,Large,Entry,72,33,54
48,Bachelor's,10,IT,Software Engineer,Small,Entry,46,63,63
23,Master's,2,Retail,Store Manager,Medium,Mid,36,37,77
24,Bachelor's,3,IT,ML Engineer,Large,Entry,41,62,90
48,Master's,6,Retail,Inventory Analyst,Small,Senior,84,8,81
33,Bachelor's,0,Telecom,Network Engineer,Small,Entry,88,15,78
32,Bachelor's,0,Logistics,Dispatcher,Medium,Entry,65,36,21
53,Bachelor's,16,Manufacturing,Production Supervisor,Medium,Mid,77,33,74
54,Bachelor's,12,Healthcare,Health Analyst,Medium,Entry,82,8,22
39,Master's,5,Telecom,Support Specialist,Medium,Mid,10,87,30
36,Master's,7,Manufacturing,Production Supervisor,Medium,Mid,11,99,28
23,Master's,2,Retail,Sales Associate,Large,Senior,45,65,57
38,High School,17,Finance,Accountant,Medium,Mid,89,10,67
37,Bachelor's,11,Telecom,Network Engineer,Medium,Entry,39,42,57
53,Bachelor's,11,Education,Academic Coordinator,Medium,Entry,70,57,83
49,Master's,12,Manufacturing,Production Supervisor,Large,Entry,55,41,72
23,High School,2,Logistics,Dispatcher,Medium,Senior,67,39,42
37,Bachelor's,11,Finance,Financial Analyst,Medium,Entry,33,84,32
48,Bachelor's,11,Finance,Auditor,Medium,Mid,60,63,41
26,Bachelor's,5,Manufacturing,Operator,Large,Entry,14,67,87
36,PhD,11,Education,Research Assistant,Medium,Entry,26,60,77
43,High School,17,Retail,Inventory Analyst,Large,Entry,57,36,20
57,High School,14,Finance,Accountant,Medium,Entry,56,41,67
50,Master's,6,Retail,Sales Associate,Large,Entry,19,82,38
36,Bachelor's,9,Finance,Accountant,Small,Mid,93,0,52
32,Master's,11,Finance,Financial Analyst,Small,Entry,55,43,21
30,High School,6,Manufacturing,Quality Engineer,Large,Entry,77,12,94
56,Master's,11,Education,Teacher,Large,Entry,91,1,96
43,Master's,7,Education,Academic Coordinator,Small,Senior,71,4,32
39,PhD,7,Retail,Inventory Analyst,Large,Mid,25,68,88
36,Master's,2,Manufacturing,Operator,Small,Mid,48,55,94
37,Master's,6,Finance,Auditor,Medium,Entry,46,56,57
56,Bachelor's,6,Healthcare,Health Analyst,Small,Mid,63,26,38
